Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.35,0.477,0.23
birch,Recall,0.0,1.0,0.0,0.35,0.477,0.23
birch,F-Score,0.0,1.0,0.0,0.35,0.477,0.23
iforest,Precision,0.0,1.0,0.0,0.262,0.44,0.196
iforest,Recall,0.0,1.0,0.0,0.262,0.44,0.196
iforest,F-Score,0.0,1.0,0.0,0.262,0.44,0.196
knn,Precision,0.0,1.0,0.0,0.238,0.426,0.183
knn,Recall,0.0,1.0,0.0,0.238,0.426,0.183
knn,F-Score,0.0,1.0,0.0,0.238,0.426,0.183
lstm,Precision,0.0,1.0,0.0,0.225,0.418,0.177
lstm,Recall,0.0,1.0,0.0,0.225,0.418,0.177
lstm,F-Score,0.0,1.0,0.0,0.225,0.418,0.177
svm,Precision,0.0,1.0,0.0,0.238,0.426,0.183
svm,Recall,0.0,1.0,0.0,0.238,0.426,0.183
svm,F-Score,0.0,1.0,0.0,0.238,0.426,0.183
