Confidence_Score,Prediction_Entropy,Similarity_Score,DSA,LSA,Outcome,partition
0.9995118118407322,0.0029517023616662,1.0,0.8625021108038519,0.0035665099017544,1,8
0.9993928204705422,0.003624994034799,1.0,0.8448032643820285,0.0046635406385049,1,7
0.9966188715999238,0.0173492194997749,1.0,0.7095222130926495,0.0159910885457918,1,4
0.999562380177308,0.0026629613332737,1.0,0.8705297789246542,0.0032097919359941,1,8
0.9995386538013789,0.002798494656007,1.0,0.8665729314042295,0.0034308102999751,1,8
0.9984260305665222,0.0087358293092123,1.0,0.7828539968445615,0.0118079563064177,1,6
0.9926903589309376,0.0340304751110323,1.0,0.6010977653501248,0.0189448484898657,1,3
0.982026311592264,0.0729340653657581,1.0,0.5456725537869127,0.0287227526674669,1,2
0.9613818481001466,0.1362067237547587,1.0,0.4192561934275962,0.0333831852436695,1,1
0.9995072582938368,0.0029776751013811,1.0,0.8787017551756755,0.006507531492947,1,8
0.991900078884209,0.0371730975493198,1.0,0.6234900619295725,0.0219592496646185,1,3
0.9999439194750772,0.0003618708022802,1.0,0.97654073662947,0.001489729212917,1,9
0.9956647836951388,0.0216007048171521,1.0,0.6570068075718978,0.0149979845147239,1,4
0.9987008011726106,0.0073342777606254,0.0,0.7748334321477527,1.0,0,6
0.9963137839579266,0.0187259540358432,1.0,0.6738210080190631,0.014040940745084,1,4
0.9991747295402852,0.0048270489006622,1.0,0.8378519631436839,0.0084169128894242,1,7
0.9840283144339168,0.0660939368524468,1.0,0.5545176216423638,0.0271027672607386,1,2
0.995989643317077,0.0201707523241411,1.0,0.6657820336372515,0.0141263496950206,1,4
0.9852791018679968,0.0617308853363838,1.0,0.5637871269650635,0.0266463056571407,1,2
0.999808631200208,0.0012046226999133,1.0,0.9357048804511512,0.003593039675687,1,9
0.9955884518695488,0.0219334304337978,1.0,0.6545867543314987,0.0155200873654441,1,4
0.8993956125137701,0.2858914660714879,0.0,0.3625738793132443,1.0,0,1
0.995744710426173,0.0212498590130581,1.0,0.6587345776788355,0.0150258323254893,1,4
0.9914828301923648,0.0388096476340731,1.0,0.5855358868300663,0.0194326890921246,1,3
0.9862734527137524,0.0582086729642097,1.0,0.5329196569936799,0.0239202123441069,1,2
0.9971063407781032,0.0151083132522453,1.0,0.7235739866796138,0.0148300370404638,1,5
0.8212947339548284,0.4322120335510774,1.0,0.3097167889181194,0.0540647639979326,1,0
0.9961908381917486,0.0192766750359349,1.0,0.6707796176723858,0.0140153198424395,1,4
0.998981203797227,0.0058663703117007,1.0,0.819364974858774,0.0092167933276234,1,6
0.9984375342639428,0.008678441313588,1.0,0.7605185903437686,0.0089320870172295,1,6
0.9982686935382656,0.009524871687331,1.0,0.7734684583076409,0.0121848897586364,1,5
0.9882469359722176,0.0510608780952667,1.0,0.5840712416072477,0.0243536615744644,1,2
0.5824132672142348,0.7368863511008298,0.0,0.1356876899570261,1.0,0,0
0.9944021330730946,0.0270087652005934,1.0,0.6596609808566427,0.0192136914406693,1,3
0.9957461483883504,0.0212435040275312,1.0,0.6873698828155295,0.0175060062916618,1,4
0.9956683786005824,0.0215842588359711,1.0,0.6576998784222304,0.0146281594844121,1,4
0.9998426629717432,0.0009966394131323,1.0,0.9433197374701566,0.0028687526699385,1,9
0.9993106169660606,0.0040824927670555,1.0,0.8524413603632605,0.0076579454798768,1,7
0.9994830525971816,0.0031156194695552,1.0,0.8584846203249725,0.0036315248889907,1,7
0.9963137839579266,0.0187259540358432,1.0,0.6738210080190631,0.014040940745084,1,4
0.9915609594706772,0.038504888260385,0.0,0.6072303599329338,1.0,0,3
0.9979437140861462,0.0111271664890239,1.0,0.7335122705800151,0.0104531680153098,1,5
0.9899268352861064,0.0447921868658704,1.0,0.6013974367982311,0.0235375815787086,1,3
0.9994691522961324,0.0031940972154328,1.0,0.8727970727073916,0.0066866544928867,1,7
0.9954318338223808,0.0226161835929533,1.0,0.6786556550076627,0.0176254348052014,1,4
0.9995348192355722,0.0028202048315733,1.0,0.8658249233576266,0.0035178123702648,1,8
0.9999872980007656,8.293326768188955e-05,1.0,0.9946391878467732,0.0007623087474207,1,9
0.9815877331281202,0.0744102792464216,1.0,0.540154545461404,0.0282956368184291,1,2
0.9971358190027424,0.0149717900752436,1.0,0.7013552390853481,0.0116849629958616,1,5
0.997628560708906,0.0126475799534799,1.0,0.7436638785573724,0.0138729664260618,1,5
